[1, 1, 1, 1, 3, 4, 5, 16]
[1, 1, 1, 1, 2, 7, 9, 10]
[1, 1, 1, 1, 5, 5, 6, 12]
[1, 1, 1, 1, 2, 5, 5, 16]
[1, 1, 2, 2, 2, 2, 6, 16]
[1, 1, 2, 2, 2, 3, 5, 16]
[3, 3, 3, 4, 4, 4, 4, 7]
[2, 2, 2, 2, 2, 6, 7, 9]
[1, 1, 1, 1, 5, 6, 6, 11]
[2, 2, 2, 2, 4, 4, 5, 11]
[1, 1, 1, 4, 4, 4, 4, 13]
[1, 4, 4, 4, 4, 5, 5, 5]
[1, 1, 1, 1, 1, 7, 9, 11]
[2, 2, 2, 2, 2, 2, 4, 16]
[1, 1, 1, 1, 3, 8, 8, 9]
[1, 1, 2, 2, 2, 4, 4, 16]
[1, 2, 3, 3, 3, 3, 3, 14]
[2, 2, 2, 2, 2, 3, 3, 16]
[2, 2, 2, 2, 3, 4, 4, 13]
[2, 2, 2, 2, 2, 5, 6, 11]
[1, 1, 1, 1, 1, 3, 8, 16]
[1, 1, 1, 2, 2, 8, 8, 9]
[1, 2, 2, 2, 2, 2, 6, 15]
[1, 1, 2, 3, 3, 3, 3, 16]
[1, 1, 1, 1, 1, 8, 8, 11]
[1, 2, 2, 2, 2, 3, 5, 15]
[1, 1, 1, 1, 1, 1, 10, 16]
[1, 1, 1, 1, 3, 3, 6, 16]
[1, 1, 1, 2, 2, 3, 6, 16]
[1, 2, 2, 2, 2, 2, 5, 16]
[1, 1, 1, 2, 2, 2, 7, 16]
[1, 1, 1, 1, 1, 5, 6, 16]
[1, 1, 1, 1, 2, 3, 7, 16]
[1, 3, 3, 3, 3, 3, 5, 11]
[1, 1, 1, 1, 1, 4, 7, 16]
[1, 2, 2, 2, 2, 3, 4, 16]
[1, 3, 3, 3, 3, 3, 8, 8]
[1, 1, 1, 3, 3, 3, 4, 16]
[1, 1, 1, 1, 2, 8, 8, 10]
[1, 2, 2, 2, 3, 3, 4, 15]
[1, 1, 1, 2, 3, 3, 5, 16]
[1, 1, 3, 3, 3, 3, 4, 14]
[1, 1, 2, 2, 3, 3, 4, 16]
[1, 1, 1, 1, 4, 4, 4, 16]
[1, 1, 1, 1, 2, 4, 6, 16]
[1, 2, 2, 2, 2, 4, 4, 15]
[1, 1, 1, 1, 2, 2, 8, 16]
[1, 1, 1, 2, 3, 4, 4, 16]
[1, 1, 1, 1, 1, 2, 9, 16]
[1, 1, 1, 1, 1, 6, 10, 11]
[1, 2, 2, 2, 3, 3, 3, 16]
[1, 2, 2, 3, 3, 3, 3, 15]
[2, 2, 2, 2, 2, 3, 6, 13]
[1, 1, 1, 2, 2, 4, 5, 16]
[2, 2, 2, 2, 4, 4, 7, 9]
[1, 1, 4, 4, 4, 4, 5, 9]
